"","Country","Year","Death_rate","Alcohol_consumption","Fat_supply","Calories_supply","Protein_supply","Sugar_supply","Vegetable_supply","Vegetable_consumption","Fruit_supply","Fruit_consumption","CH4_emissions","N2O_emissions","PFCs_emissions","SF6_emissions","CO2_emmisions","Total_emissions","good_health_lowest_earners","good_health_highest_earners","Expenditure_per_capita","percent_total_insured","percent_pharm_insured","Total_investment","Roads_investment","Min2mean_wage","Min2median_wage","obese_percent","overweight_percent","Public_transport","Car_transport","Pesticide_sales","Total_smokers_percentage","Total_young_smokers_percentage","Urban_percentage","Rural_percentage","Waste_per_capita","Wastewater_volume","Wastewater_urban","Wastewater_untreated","no_water_treatment","water_treatment"
"1","Estonia",2000,583,9,86.5,3050,89,54.8,68.5,NA,83.8,NA,0.0287472739820566,0.0156263860133425,NA,6.00414078674948e-05,0.356226984126984,0.315413411548194,NA,NA,209.71313477,NA,NA,70077084.793273,61531098.842874,0.275383431649141,0.341622653515749,NA,NA,2630,NA,NA,30.3,27.3,0.6936803187,0.3063196813,NA,NA,NA,NA,30,70
"2","Estonia",2001,591,10.1,89.2,3046,87.3,55.1,79,NA,80.1,NA,0.02959335173683,0.0156952150908673,NA,3.84172992868645e-05,0.364994985047159,0.320574051069703,NA,NA,214.70414734,NA,NA,59822150.363784,59822150.363783,0.281186984417965,0.348806139852189,NA,NA,2720,NA,NA,NA,NA,0.6924202966,0.3075797034,NA,NA,NA,NA,NA,NA
"3","Estonia",2002,561,12,99.1,3043,92.4,43.1,78.2,NA,71.8,NA,0.0284559696342305,0.0150905221992179,NA,3.16540142627099e-05,0.353091626409018,0.314011594202899,NA,NA,250.48020935,NA,NA,101005392.13401,97897533.914503,0.297014862884656,0.368434172942093,NA,NA,2603,NA,NA,28.3,26.9,0.6911603291,0.3088396709,NA,NA,NA,NA,NA,NA
"4","Estonia",2003,540,11.8,101.6,3074,90.5,43.9,99.1,NA,71.8,NA,0.028651828847481,0.0160518748562227,NA,2.93075684380032e-05,0.396473268921095,0.330036139866575,NA,NA,349.05804443,NA,NA,95857172.812509,103346014.43849,0.316868783473604,0.393115804461319,NA,NA,2573,NA,NA,NA,NA,0.6898899848,0.3101100152,NA,NA,NA,NA,NA,NA
"5","Estonia",2004,521,11.5,97.8,3080,84.9,52.6,83.1,NA,76,NA,0.0290729468599034,0.0168005521048999,NA,2.39015412928456e-05,0.399536116862204,0.35838974005061,NA,NA,455.06811523,93.6,93.6,106929300.03517,111150193.45762,0.336519815994338,0.417473661106234,NA,NA,2714,NA,NA,32.8,30.8,0.6886198672,0.3113801328,15293.754,NA,NA,NA,NA,NA
"6","Estonia",2005,487,13,91.8,3167,93,52.6,83.2,NA,70.9,NA,0.0283477110651024,0.0168543363239015,NA,2.38095238095238e-05,0.394666528640442,0.416309891879457,40.6,76.8,524.68011475,94.1,94.1,159966433.27301,166522434.63667,0.323618823529412,0.401491090819925,NA,NA,2938,NA,NA,NA,NA,0.687350298,0.312649702,NA,NA,NA,NA,26,79
"7","Estonia",2006,480,13.4,95,3203,93.6,47.8,82.2,NA,65.4,NA,0.0281369910282954,0.0165095238095238,2.16241085806303e-06,2.53508166551645e-05,0.379625856912813,0.377179848171153,38.7,74.8,600.50787354,95.2,95.2,179477731.68673,187797891.4338,0.302468843666193,0.370373589862463,NA,NA,3112,NA,NA,27.8,27,0.686070047,0.313929953,14034.766,NA,NA,NA,NA,NA
"8","Estonia",2007,470,14.8,93.5,3222,97.1,47.7,99.5,NA,79.6,NA,0.0284936047849091,0.0178311019093628,1.77133655394525e-06,2.12100299056821e-05,0.460587738670347,0.456471934667587,35.1,75,832.73309326,96.2,96.2,164473684.21053,166582321.18758,0.297632291558867,0.35781416855878,NA,NA,2909,NA,NA,NA,NA,0.6847898082,0.3152101918,NA,NA,NA,NA,NA,NA
"9","Estonia",2008,430,14.2,93.8,3313,100.7,43.5,96.4,NA,83,NA,0.0281589371980676,0.0191502415458937,1.12721417069243e-06,2.98826777087647e-05,0.411212008281573,0.375254888428801,30.6,79.5,1038.56225586,96,96,168214580.63595,183506815.23922,0.324144893065482,0.378263127341334,NA,NA,2676,NA,NA,26.2,22.5,0.6835097114,0.3164902886,14614.821,NA,NA,NA,NA,NA
"10","Estonia",2009,412,11.9,95.6,3348,98.7,46.5,107.2,51.7,82.6,56.7,0.0284054750402577,0.0179184955141477,NA,3.18150448585231e-05,0.333309063722107,0.30497644352427,33.2,73.9,963.01965332,95.7,95.7,173794855.22666,176022994.39623,0.34127414820483,0.398252230229123,NA,NA,2336,NA,NA,NA,NA,0.6822298738,0.3177701262,NA,NA,NA,NA,NA,NA
"11","Estonia",2010,381,11.4,92,3310,99.1,46.2,109.6,NA,74.4,NA,0.0287962732919255,0.0182632160110421,NA,3.97285484242006e-05,0.436973798021624,0.385900460087417,39.2,74.9,926.4541626,94.5,94.5,197071426.93463,200508719.26488,0.339457671957672,0.404092781007752,NA,NA,2266,NA,NA,26.2,25.6,0.6809403106,0.3190596894,14264.414,NA,NA,NA,18.4,86.6
"12","Estonia",2011,363,12,89.1,3289,99.6,43.7,122,NA,71.9,NA,0.0276793650793651,0.0185633080285254,NA,4.06717276282494e-05,0.43917423510467,0.380588543823326,39.4,75.2,1015.96826172,94,94,280043562.33192,218922943.569,0.320566994122507,0.381605186317344,NA,NA,2260,NA,0.0105518518518519,NA,NA,0.679650063,0.320349937,NA,NA,NA,NA,18.33,86.7
"13","Estonia",2012,365,12.1,94.1,3232,97.8,32.7,104.3,NA,80.8,NA,0.0279831377961813,0.0197129514607775,NA,4.3317230273752e-05,0.410543018173453,0.369468046928916,36.3,78.6,1013.31420898,93.7,93.7,261546963.67462,257933555.8059,0.316323739537635,0.376553986455411,NA,NA,2490,NA,0.0126880837359098,26,21.9,0.6797397134,0.3202602866,16623.084,NA,NA,NA,17.3,86.8
"14","Estonia",2013,329,11.9,90.7,3253,103.9,31.6,115.3,NA,81.1,NA,0.0278782608695652,0.019791718426501,NA,4.64228203358638e-05,0.454056981826547,0.424420036806993,38.3,78.4,1144.64685059,93.6,93.6,243521222.1021,264435171.80759,0.326214242365955,0.388327710025751,NA,NA,2619,NA,0.0130519438693352,NA,NA,0.6812200635,0.3187799365,NA,NA,NA,NA,17.76,87.24
"15","Estonia",2014,336,11.1,106.6,3210,100.2,61.5,96.5,54.8,71.4,52.2,0.0270791580400276,0.0205605475040258,NA,4.83091787439614e-05,0.434443087186565,0.446822337244076,35.7,77.9,1238.92700195,93.9,93.9,163988140.10754,194944469.57134,0.340392297858741,0.398909176029963,18,33.3,2569,NA,0.0137103979756154,22.1,15.3,0.6826902084,0.3173097916,16568.419,NA,NA,NA,17.62,88
"16","Estonia",2015,309,10.6,120.1,3171,102.4,54.5,111.8,NA,76.5,NA,0.0261695422130205,0.0210919254658385,NA,5.16448125143777e-05,0.364835863814125,0.356874833218311,33.9,75.3,1112.9140625,94,94,198150000,232550000,0.352845585819166,0.41350331012291,NA,NA,3315,NA,0.0140137796181274,NA,NA,0.6841601117,0.3158398883,NA,NA,NA,NA,17.4,87.6
"17","Estonia",2016,301,10.2,119.4,3142,103,48,100.3,NA,78,NA,0.0256927076144467,0.0204355877616747,NA,5.80630319760755e-05,0.404125097768576,0.389941062801932,33.3,79,1186.1027832,94,94,164373897.70723,193701184.17737,0.361545588139328,0.42369893081946,NA,NA,2995,NA,0.0163281343455257,21.3,18.5,0.6856299257,0.3143700743,18434.229,123.4956,35.5604,0.1785,12.2,87.8
"18","Estonia",2017,295,10.3,119.4,3138,101.2,45.1,101.6,NA,81.9,NA,0.0258448815274902,0.0211875546353807,NA,5.61996779388084e-05,0.432217391304348,0.439849068322981,32.5,77.2,1350.38061523,94.1,94.1,209303480.11716,237303281.53701,0.370911336683149,0.43467474624778,NA,NA,2929,NA,0.0161048769266161,NA,NA,0.6871701797,0.3128298203,NA,126.803,34.1765,0.1785,17.1,87.9
"19","Estonia",2018,298,10,127.4,3247,105.4,52,105.6,NA,88.2,NA,0.0256605705083966,0.0209982056590752,NA,5.89602024384633e-05,0.412802392454566,0.451667632850242,31.2,74,1552.63244629,94.5,94.5,239559538.45253,251859661.45376,0.367773524697547,0.430997512651171,NA,NA,2924,NA,0.0146324821716126,17.2,13.1,0.6888001834,0.3111998166,17525.004,108.7569,30.1364,0.3774,NA,NA
"20","Estonia",2019,281,10.4,NA,NA,NA,NA,NA,46.9,NA,49.1,0.0256550264550265,0.0224631009891879,NA,6.29859673337934e-05,0.284801403266621,0.32168171152519,32.9,78.1,1598.81884766,95,95,242262907.92094,251838516.92968,0.36981235447199,0.43338683788122,NA,NA,3240,NA,0.0171417989417989,NA,NA,0.6905097453,0.3094902547,NA,118.9243,33.0602,0.2723,NA,NA
"21","Costa Rica",2000,265,4.2,78,2800,74.2,56.4,39.9,NA,157.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,248.75341797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506560908734822,12.5,NA,0.5905199642,0.4094800358,NA,NA,NA,NA,NA,NA
"22","Costa Rica",2001,262,4.3,76.9,2801,70.5,55.2,45.6,NA,168.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.39358521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209635722679201,12.6,NA,0.6040999744,0.3959000256,NA,NA,NA,NA,NA,NA
"23","Costa Rica",2002,238,4.2,78.6,2765,70.1,55.4,45.9,NA,156.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.69869995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234665099882491,12.1,NA,0.6175299116,0.3824700884,NA,NA,NA,NA,NA,NA
"24","Costa Rica",2003,249,4.1,78.1,2749,70.6,56,44,NA,120.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,289.06826782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221993732863298,11.6,NA,0.6308000883,0.3691999117,NA,NA,NA,NA,NA,NA
"25","Costa Rica",2004,243,4.1,82.1,2761,70.3,55.3,45.9,NA,83.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,292.03182983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225695260477869,11.1,NA,0.6438798946,0.3561201054,NA,NA,NA,NA,NA,NA
"26","Costa Rica",2005,222,4.1,82.3,2813,70.8,57.2,39.2,NA,151.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,311.70877075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221484528006267,10.6,NA,0.6567199564,0.3432800436,NA,NA,NA,NA,NA,NA
"27","Costa Rica",2006,227,4.2,86.2,2873,73,57.5,57.1,NA,158.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,362.50491333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219330199764982,10.1,NA,0.6693501044,0.3306498956,NA,NA,NA,NA,NA,NA
"28","Costa Rica",2007,198,4.3,87.5,2858,74.5,58.8,52.6,NA,100.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,427.04202271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249647473560517,9.6,NA,0.6817400615,0.3182599385,NA,NA,NA,NA,NA,NA
"29","Costa Rica",2008,201,4.3,87.7,2844,75.3,56.2,56.4,NA,85.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,515.43334961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.260810810810811,9.2,NA,0.6938999889,0.3061000111,NA,NA,NA,NA,NA,NA
"30","Costa Rica",2009,197,4.1,87.5,2843,76.1,54.9,53,NA,85.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,534.57446289,89.7,89.7,NA,NA,NA,NA,NA,NA,NA,NA,0.241030160595378,8.7,NA,0.7057500997,0.2942499003,NA,NA,NA,NA,NA,NA
"31","Costa Rica",2010,220,3.7,86.6,2848,75.9,54.7,48.2,NA,105.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,660.58642578,91.9,91.9,NA,NA,0.490579606370489,0.692521318681319,NA,NA,NA,NA,0.278926752839796,8.2,NA,0.7173600305,0.2826399695,NA,NA,NA,NA,NA,NA
"32","Costa Rica",2011,205,3.2,87.9,2882,76.1,54.2,47.9,NA,121.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,749.6449585,93.7,93.7,NA,NA,0.476811435006048,0.693001242236025,NA,NA,NA,NA,0.250900900900901,7.7,NA,0.728679977,0.271320023,NA,NA,NA,NA,NA,NA
"33","Costa Rica",2012,199,3.2,89.6,2850,74.4,54.4,43.9,NA,140.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,784.48297119,93.6,93.6,NA,NA,0.500076695705179,0.705666666666667,NA,NA,NA,NA,0.250900900900901,7.2,NA,0.7394600643,0.2605399357,NA,NA,NA,NA,NA,NA
"34","Costa Rica",2013,194,3,90.5,2848,75.1,52.6,49.7,NA,133.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,825.39324951,94.4,94.4,NA,NA,0.487933276688224,0.691414285714286,NA,NA,NA,NA,0.250900900900901,6.7,NA,0.7497000808,0.2502999192,NA,NA,NA,NA,NA,NA
"35","Costa Rica",2014,196,3.1,91.4,2890,76.7,53.8,46.6,NA,104.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,831.3001709,94.7,94.7,NA,NA,0.474566149038218,0.672681212225275,29.4,36.8,NA,NA,0.250900900900901,6.2,NA,0.759409975,0.240590025,NA,NA,NA,NA,NA,NA
"36","Costa Rica",2015,200,3.2,94.3,2896,75.9,53.3,56.5,NA,123.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,883.91546631,94.9,94.9,NA,NA,0.486936321506926,0.701654929577465,NA,NA,NA,NA,0.250900900900901,5.8,NA,0.7686200249,0.2313799751,NA,NA,NA,NA,NA,NA
"37","Costa Rica",2016,205,3.4,97.4,2978,79.4,56.4,49.5,NA,135.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,878.88891602,95,95,NA,NA,0.484904873157774,0.692095675675676,NA,NA,NA,NA,0.250900900900901,5.2,NA,0.7773500327,0.2226499673,NA,NA,NA,NA,NA,NA
"38","Costa Rica",2017,199,3.2,106.1,3010,80.4,52.1,55.6,NA,122.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,861.32006836,95.4,95.4,NA,NA,0.490615514495052,0.675363692307694,NA,NA,NA,NA,0.250900900900901,4.7,NA,0.7856000711,0.2143999289,NA,NA,NA,NA,NA,NA
"39","Costa Rica",2019,209,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,921.58575439,91.1,91.1,NA,NA,0.474156134324076,0.69057,NA,NA,NA,NA,NA,NA,NA,0.8007600106,0.1992399894,NA,NA,NA,NA,NA,NA
"40","United Kingdom",2001,273,10.8,141.8,3400,100.7,40.4,90.9,NA,91.9,NA,0.418823349729261,0.10655674368619,0.00200715909560617,0.0061671475220105,2.38516708965403,3.00028204439301,NA,NA,2101.83642578,100,100,13929104387.425,13073475665.179,0.330948121645796,0.401737242128122,22.4,39.2,46540,651396.19970162,NA,27,NA,0.7875100053,0.2124899947,NA,NA,NA,NA,NA,NA
"41","United Kingdom",2002,265,11.1,135.4,3416,101.9,41.1,85.7,NA,97.9,NA,0.409448638035795,0.100026077791097,0.00168740544785682,0.00631791840615054,2.31807286405159,2.91403313768445,NA,NA,2386.21240234,100,100,15392039309.596,13514180377.674,0.348343245539507,0.425752855659398,22.5,38.1,46900,672719.46918281,NA,26,NA,0.7904700078,0.2095299922,NA,NA,NA,NA,NA,NA
"42","United Kingdom",2003,259,11.3,133.4,3400,103.1,40.4,92.3,NA,115.6,NA,0.388883962303146,0.0983079113793246,0.00147404621171413,0.00558669036498161,2.36527384780722,2.9395485016327,NA,NA,2796.34106445,100,100,16779044219.776,13260795881.666,0.345394736842105,0.421686746987952,22.6,37.9,47000,667356.3389006,NA,26,NA,0.7933899981,0.2066100019,NA,NA,NA,NA,NA,NA
"43","United Kingdom",2004,246,11.6,137.6,3445,103.2,41.5,90.3,NA,116.2,NA,0.370478522713182,0.100576174926632,0.00179331624850163,0.00473014921671558,2.37126194353739,2.92017469102633,NA,NA,3384.60522461,100,100,13370967548.825,13370967548.825,0.356294536817102,0.431034482758621,22.9,38.8,41026.703650225,672459.35546268,NA,25,NA,0.7962900021,0.2037099979,4990.543,NA,NA,NA,NA,NA
"44","United Kingdom",2005,239,11.4,139.4,3438,103.6,37.6,95.9,NA,127,NA,0.352284751787707,0.0971711858802133,0.00159200181870789,0.00446206340677055,2.35917760095896,2.88715398669037,63.1,88.4,3552.64306641,100,100,14178448997.836,14060113201.115,0.36910197869102,0.450324976787372,23.2,37.3,42464.035097145,666713.53506037,NA,24,NA,0.7991500037,0.2008499963,NA,NA,NA,NA,0,NA
"45","United Kingdom",2006,233,11,147.2,3438,104.1,33,93.4,NA,139.1,NA,0.334816843715124,0.0926222709048072,0.00160240978795519,0.00373140164510396,2.34956986318357,2.85550699375853,64.7,88.4,3842.67578125,100,100,16549391383.213,14135655170.789,0.371050698016165,0.454136690647482,23.9,37.6,40470.421339182,672433.08101293,NA,22,25.5,0.8019899972,0.1980100028,4786.955,NA,NA,NA,NA,NA
"46","United Kingdom",2007,226,11.1,140.8,3417,104.5,36.1,91.6,NA,126.9,NA,0.319295965775224,0.0928604183028149,0.00118976563468772,0.00354688546273716,2.31550326540735,2.80599315091142,66.6,88.8,4450.12890625,100,100,15182243122.414,12900769822.986,0.382142857142857,0.466434176111595,24,36.7,40697.97657213,673091.56539294,NA,21,26.1,0.80479,0.19521,NA,NA,NA,NA,NA,NA
"47","United Kingdom",2008,223,10.8,140.1,3422,102.9,36.5,93,NA,134.2,NA,0.29558181705452,0.0901521721159013,0.00110050841152399,0.00289631711652131,2.25422443682057,2.71608600834952,69.3,91.1,4301.11669922,100,100,17028494411.298,13854426565.092,0.37782340862423,0.460767946577629,24.5,36.9,43209.530214968,666601.33795489,NA,21,26.4,0.8075700008,0.1924299992,4541.348,NA,NA,NA,NA,NA
"48","United Kingdom",2009,212,10.1,139.7,3412,102.1,38.8,88.7,NA,125.1,NA,0.277850841152399,0.0840467449262183,0.000815661554995247,0.00252360186830901,2.04487981647584,2.48345965775224,71.7,91,3841.87890625,100,100,18718807506.52,15853284680.629,0.380225613802256,0.461352657004831,23,38.3,44219.152266578,661967.186113,NA,21,24.8,0.8103099945,0.1896900055,NA,NA,NA,NA,NA,NA
"49","United Kingdom",2010,206,10.1,142.3,3404,102.1,36.6,92.8,NA,123.3,NA,0.258643884594717,0.0858934237176043,0.00118922002232051,0.00293041375604514,2.1182596660191,2.54177281858389,70.7,90.8,3904.50708008,100,100,18092219096.08,14620233638.719,0.379829731499673,0.461416070007955,26.1,36.7,44723.40623386,651060.84641,NA,20,23.1,0.8130199988,0.1869800012,3810.589,NA,NA,NA,0.5,99.5
"50","United Kingdom",2011,198,9.9,138.1,3417,102.9,40.1,96.9,NA,125.7,NA,0.247449191915017,0.0826012606952424,0.00172319679246063,0.00259592444095399,1.94377088000661,2.35344426487,69.3,88.1,4156.57714844,100,100,17814660755.66,12253914167.275,0.384565499351492,0.469145569620253,24.8,36.9,42607.020027267,653682.41268,0.100966358037449,20,24.2,0.815699995,0.184300005,NA,NA,NA,NA,NA,NA
"51","United Kingdom",2012,191,9.6,138.5,3403,103.4,38.6,92.9,NA,126.1,NA,0.241189868970363,0.0820988219732981,0.00105394535609474,0.00251477286818501,2.0180341090398,2.42291410325301,63.8,88.5,4222.08496094,100,100,17296439135.334,10877877267.513,0.390494540783558,0.473889321901793,24.7,37.1,42226.389866547,660970.6883,0.0836730459223742,20,22.2,0.8183700008,0.1816299992,3745.686,NA,NA,NA,NA,NA
